code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,all_activity_sumclick,after_clicks_sum,before_clicks_sum,forumng_clicks_sum,homepage_clicks_sum,oucontent_clicks_sum,subpage_clicks_sum,url_clicks_sum,resource_clicks_sum,glossary_clicks_sum,dataplus_clicks_sum,oucollaborate_clicks_sum,quiz_clicks_sum,ouelluminate_clicks_sum,sharedsubpage_clicks_sum,questionnaire_clicks_sum,page_clicks_sum,externalquiz_clicks_sum,ouwiki_clicks_sum,dualpane_clicks_sum,repeatactivity_clicks_sum,folder_clicks_sum,htmlactivity_clicks_sum,date_registration,module_presentation_length,CMA_sumScore,TMA_sumScore,Exam_sumScore
0,1,1,0,1,9,2,0,240,0,Pass,934,836,98,193,138,553,32,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,268,0,410,0
0,1,0,6,1,2,1,0,60,0,Pass,1435,1220,215,417,324,537,87,48,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,53,268,0,332,0
0,1,0,5,0,3,1,0,60,1,Withdrawn,281,179,102,126,59,66,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,268,0,0,0
0,1,0,7,0,5,1,0,60,0,Pass,2158,1989,169,634,432,836,144,90,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,52,268,0,380,0
0,1,0,11,0,5,0,0,60,0,Pass,1034,739,295,194,204,494,79,14,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,176,268,0,272,0
0,1,1,10,0,8,1,0,60,0,Pass,2445,2168,277,875,512,900,91,45,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,110,268,0,340,0
0,1,1,6,1,3,0,0,60,0,Pass,1492,1312,180,123,320,915,98,24,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,67,268,0,340,0
0,1,0,5,0,9,0,0,120,0,Pass,1428,1407,21,428,295,508,120,56,16,0,4,1,0,0,0,0,0,0,0,0,0,0,0,29,268,0,362,0
0,1,0,0,0,7,0,0,90,0,Pass,1894,1888,6,333,476,714,214,128,19,0,8,2,0,0,0,0,0,0,0,0,0,0,0,33,268,0,357,0
0,1,1,4,1,2,2,0,60,0,Pass,3158,2982,176,1974,394,575,124,82,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,179,268,0,390,0
0,1,1,8,0,7,1,0,60,0,Pass,1319,1180,139,30,360,708,132,60,16,8,5,0,0,0,0,0,0,0,0,0,0,0,0,103,268,0,370,0
0,1,0,0,0,2,0,0,60,0,Pass,1732,1573,159,229,488,811,110,78,6,0,8,2,0,0,0,0,0,0,0,0,0,0,0,47,268,0,366,0
0,1,1,0,0,6,1,0,60,0,Pass,1102,992,110,218,215,521,100,32,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,59,268,0,393,0
0,1,0,5,1,5,0,0,60,0,Pass,3388,3137,251,1255,513,1520,61,5,21,0,12,1,0,0,0,0,0,0,0,0,0,0,0,68,268,0,380,0
0,1,1,6,0,4,1,0,60,0,Pass,2737,2495,242,411,543,1419,204,127,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,67,268,0,358,0
0,1,0,0,0,7,0,0,60,0,Withdrawn,171,168,3,12,38,100,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,268,0,134,0
0,1,0,11,0,6,1,0,60,0,Pass,1053,958,95,91,254,610,56,25,12,2,1,2,0,0,0,0,0,0,0,0,0,0,0,95,268,0,278,0
0,1,1,2,1,2,1,0,60,0,Pass,2327,2123,204,822,390,853,129,80,49,0,3,1,0,0,0,0,0,0,0,0,0,0,0,130,268,0,402,0
0,1,1,0,0,1,1,0,150,0,Fail,116,105,11,14,34,43,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,268,0,194,0
